"Plot4"
"Time (sec)","Motor Torque1 (newton-mm)"
0,60.5466372478394
0.04,113.779872272648
0.08,34.6602117409663
0.12,119.74036033639
0.16,135.524470388157
0.2,0.938154016922624
0.24,104.870346438512
0.28,88.6952646298586
0.32,31.2126138865404
0.36,14.6637325101175
0.4,12.7387490725453
0.44,25.5537266245111
0.48,65.4915387050602
0.52,72.0886529974579
0.56,39.5664558812757
0.6,35.0180605810389
0.64,106.003292230164
0.68,73.1332899178271
0.72,80.4989760164453
0.76,152.963642978429
0.8,45.2351600590846
0.84,85.2758856227271
0.88,103.741943732379
0.92,45.4164709155186
0.96,15.4489821494229
1,15.6282225125279
1.04,10.6437794612697
1.08,56.8383975337648
1.12,73.7601869509436
1.16,53.9970743554353
1.2,9.72105037786836
1.24,90.835679932336
1.28,98.9551031130812
1.32,31.3927338755139
1.36,152.374244745817
1.4,88.8906783534757
1.44,54.8970738743203
1.48,111.275464242173
1.52,63.1978107833027
1.56,19.2682303227734
1.6,15.7078905864077
1.64,2.04795751857725
1.68,45.1436369319444
1.72,72.309441666872
1.76,64.2823060952615
1.8,13.4685220964658
1.84,69.2496443804201
1.88,110.654277077529
1.92,17.9737260964192
1.96,132.75023682945
2,125.15835591373
2.04,15.6662205477039
2.08,108.3721744358
2.12,82.2091150161825
2.16,27.2208175650921
2.2,14.8466646170265
2.24,10.7174448691995
2.28,31.0138742931396
2.32,67.8635642582654
2.36,70.6721974699944
2.4,33.3215650934038
2.44,44.3550655905596
2.48,109.297390397586
2.52,60.439919228928
2.56,96.6828892089699
2.6,148.549350901704
2.64,28.708587729552
2.68,93.6172960020749
2.72,98.9705832049088
2.76,39.7633881311387
2.8,14.8871732567403
2.84,14.9947803163006
2.88,15.9608544764455
2.92,60.3786678288877
2.96,73.5355849371815
3,49.2010755961777
3.04,18.8433104989074
3.08,97.3303303741806
3.12,91.1233337005783
3.16,49.8822940309272
3.2,154.849229919822
3.24,73.4095316943725
3.28,67.2604074539362
3.32,109.607412694391
3.36,56.3600612567108
3.4,17.4293080114267
3.44,15.8948622767068
3.48,2.2483966308616
3.52,49.8202681960061
3.56,73.2126682940945
3.6,60.9436263422368
3.64,5.18904027005329
3.68,77.8303594991332
3.72,107.93639798665
3.76,0.0700869082841463
3.8,142.203824965893
3.84,112.898176398951
3.88,31.1083208613361
3.92,110.816857922551
3.96,75.1865409019939
4,23.7237766099457
4.04,15.1619429518701
4.08,8.00178372807128
4.12,36.5340290185923
4.16,69.8988235586981
4.2,68.7135729478259
4.24,26.2951026534668
4.28,53.9433340098782
4.32,111.219990689742
4.36,45.62223290779
4.4,111.918960468259
4.44,141.566120041171
4.48,11.6495659902903
4.52,100.614524813303
4.56,93.1648487308193
4.6,34.4923941782049
4.64,14.6609044766188
4.68,13.8524840905928
4.72,21.6583008748253
4.76,63.60341645522
4.8,72.8487534145221
4.84,43.6403829292161
4.88,28.5043375073372
4.92,102.97200311785
4.96,81.0035051413985
5,68.5654987540582
